,股票代码,股票名称,每股收益(元),营业收入(元),营业收入同比增长(%),营业收入季度环比增长(%),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%),每股经营现金流量(元),销售毛利率(%),所属行业,最新公告日期
2791,sz.000761,本钢板材,0.18,15252265770.99,30.0436425975,10.2604,686599759.65,285.73,581.5329,5.306609169974,3.21,-0.249353860018,9.1879859717,钢铁行业,2021-04-28
2792,sz.000759,中百集团,0.004,3489033829.37,-11.7596587654,20.2369,2430116.7,101.43,110.0893,4.602234415756,0.08,0.746892799111,25.0374212771,商业百货,2021-04-28
2793,sz.000758,中色股份,0.0471,1600470575.14,17.8064804574,-19.8394,92733982.09,26.12,443.4283,2.384218258481,2.0,1.194729299136,16.6871104435,有色金属,2021-04-28
2794,sz.000750,国海证券,0.03,1069250000.52,4.0072254969,27.7971,174035256.43,-42.08,190.1549,3.418004824907,0.94,-2.982497312648,,券商信托,2021-04-28
2795,sz.000718,苏宁环球,0.0895,790410710.19,1.9449981191,-56.2829,271629551.01,4.0,43.2061,2.865405528536,3.17,-0.000379545093,66.5801237389,房地产,2021-04-28
2796,sz.000713,丰乐种业,0.0313,629401208.38,14.9468654569,-19.3866,13736211.56,-34.49,-58.5274,3.933405073033,0.8,-0.340333045421,13.4457036042,农牧饲渔,2021-04-28
2797,sz.000708,中信特钢,0.382,22410100822.79,29.9250934572,13.8194,1927260115.73,49.2,14.8477,5.305075598439,6.57,0.139897539345,17.7054229833,钢铁行业,2021-04-28
2798,sz.000702,正虹科技,-0.0202,357196630.35,110.654339967,-2.9858,-5381321.68,-103.77,-116.2577,2.132584259365,-0.94,-0.2852615477,9.5539020977,农牧饲渔,2021-04-28
2799,sz.000697,炼石航空,-0.065,237225070.07,-46.4220352228,-15.869,-43654946.5,-84.47,85.3884,1.420431462062,-4.4,-0.161384153442,13.7583762249,航天航空,2021-04-28
2800,sz.000672,上峰水泥,0.44,1224566653.28,16.4278428348,-38.1947,354519479.5,5.45,-30.7392,8.771515872343,5.1,0.517180460137,50.2080420141,水泥建材,2021-04-28
2801,sz.000668,荣丰控股,-0.06,22044465.07,127.4615675603,-66.3858,-8940057.71,31.11,-275.9313,6.368061171509,-0.96,0.046518832126,39.9095670594,房地产,2021-04-28
2802,sz.000667,美好置业,-0.0537,286072937.34,327.6338863954,-85.8482,-132451340.1,-45.05,-155.6715,2.85741401239,-1.85,0.206964694454,9.4226220839,房地产,2021-04-28
