,Date,High,Low,Open,Close,Volume
185,2020/11/4,19.47,18.83,19.32,19.03,83631.52
186,2020/11/5,20.48,19.47,19.63,20.36,148931.08
187,2020/11/6,20.75,19.91,20.45,20.66,155087.26
188,2020/11/9,20.85,20.23,20.65,20.74,141337.49
189,2020/11/10,20.59,19.64,20.5,20.35,131735.46
190,2020/11/11,20.07,19.52,20.03,19.55,64806.07
191,2020/11/12,19.98,19.56,19.75,19.64,55455.8
192,2020/11/13,20.1,18.99,19.4,19.84,65268.31
193,2020/11/16,20.39,19.7,20.35,20.12,74165.51
194,2020/11/17,19.98,19.53,19.98,19.79,50752.7
195,2020/11/18,20.45,19.75,19.77,20.21,79999.76
196,2020/11/19,20.58,19.75,20.1,20.37,75633.81
197,2020/11/20,20.47,19.85,20.3,19.94,63993.4
198,2020/11/23,19.49,18.67,19.49,19,108433.9
199,2020/11/24,19.15,18.73,18.99,19.03,43766.78
200,2020/11/25,19.16,18.65,19.09,18.65,46041.57
201,2020/11/26,18.74,18.32,18.56,18.49,31942.59
202,2020/11/27,18.6,18.11,18.42,18.37,35047.3
203,2020/11/30,18.67,18.31,18.43,18.51,39276
204,2020/12/1,18.87,18.36,18.5,18.78,35831.36
205,2020/12/2,18.8,18.52,18.62,18.6,32813.63
206,2020/12/3,18.75,18.46,18.5,18.67,30187.66
207,2020/12/4,18.59,18.25,18.59,18.4,34007.28
208,2020/12/7,18.47,18.09,18.4,18.2,27993.11
209,2020/12/8,18.29,18.01,18.21,18.15,21338.3
210,2020/12/9,18.17,17.6,18.12,17.62,33936.25
211,2020/12/10,18.13,17.48,17.61,17.82,26507.06
212,2020/12/11,17.75,16.9,17.75,17.12,45225.63
213,2020/12/14,17.28,16.77,17.22,16.89,38279.39
214,2020/12/15,17.1,16.82,16.95,17.06,20313.1
215,2020/12/16,17.15,16.6,17.05,16.88,23281.37
216,2020/12/17,17.05,16.58,16.89,16.96,26380
217,2020/12/18,17.09,16.61,16.82,16.72,22675.96
218,2020/12/21,16.97,16.56,16.69,16.78,22410.02
219,2020/12/22,16.75,16.11,16.75,16.26,34439.98
220,2020/12/23,16.44,16.12,16.12,16.2,22611.93
221,2020/12/24,16.24,15.6,16.16,15.64,38317
222,2020/12/25,16.23,15.55,15.6,16,33569.12
223,2020/12/28,15.95,15.57,15.9,15.63,28307.43
224,2020/12/29,16.57,15.65,15.65,16.29,41890.94
225,2020/12/30,16.5,16.01,16.12,16.31,33879.67
226,2020/12/31,16.58,16.26,16.38,16.52,33813.1
227,2021/1/4,16.66,16.3,16.63,16.46,30072.47
228,2021/1/5,16.68,16.35,16.5,16.54,29283.68
229,2021/1/6,16.55,16.09,16.51,16.11,34236.24
230,2021/1/7,16.25,15.75,16.11,16.12,36798.27
231,2021/1/8,16.26,15.6,16.2,15.89,56613.95
232,2021/1/11,15.9,14.63,15.87,14.91,70135.73
233,2021/1/12,15.98,14.82,14.9,15.58,60997.76
234,2021/1/13,16.49,15.46,15.6,16.1,57717.55
235,2021/1/14,16.38,15.53,16.08,15.7,35517.86
236,2021/1/15,17.27,15.6,15.6,17.27,84045.14
237,2021/1/18,17.95,16.7,17.59,17.62,118927.96
238,2021/1/19,17.81,17.05,17.54,17.21,62465.66
239,2021/1/20,18.35,17,17.21,17.55,81199.42
240,2021/1/21,18.3,17.26,17.49,18,90583.08
241,2021/1/22,17.95,17.27,17.9,17.36,49794.86
242,2021/1/25,17.48,16.89,17.29,17,40765.71
243,2021/1/26,17.5,16.05,17.4,16.08,69229.43
244,2021/1/27,16.42,15.8,16.01,16.16,52299.06
245,2021/1/28,17.78,15.85,15.88,17.78,98130.18
246,2021/1/29,17.96,16.91,17.84,17.5,132588.29
