,股票代码,股票名称,所属地域,行业,业绩预告发布日期,业绩预告统计日期,业绩预告类型,业绩预告摘要,预告归属于母公司的净利润增长上限(%),预告归属于母公司的净利润增长下限(%)
4531,sz.300074,华平股份,上海,通信设备,2020/2/3,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:1,483.15万元至1,928.09万元,同比上年增长:0%至30%。",30,0
4532,sz.300074,华平股份,上海,通信设备,2020/3/18,2020/3/31,增亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:2,350万元至2,850万元。",-97.330356,-139.315538
4533,sz.300074,华平股份,上海,通信设备,2020/4/29,2020/6/30,首亏,预计2020年1-6月归属于上市公司股东的净利润不能排除继续亏损的可能。,0,0
4534,sz.300075,数字政通,北京,软件服务,2020/1/22,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:12,890.53万元至14,062.39万元,同比上年增长:10%至20%。",20,10
4535,sz.300075,数字政通,北京,软件服务,2020/4/9,2020/3/31,略增,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,217.62万元至2,882.91万元,同比上年增长:0%至30%。",30,0
4536,sz.300076,GQY视讯,浙江,IT设备,2020/1/22,2019/12/31,略减,"预计2019年1-12月归属于上市公司股东的净利润盈利:1,000万元至1,500万元,同比上年下降:20.07%至46.71%。",-20.07,-46.71
4537,sz.300076,GQY视讯,浙江,IT设备,2020/4/10,2020/3/31,扭亏,预计2020年1-3月归属于上市公司股东的净利润盈利:300万元至700万元。,184.033163,136.014213
4538,sz.300076,GQY视讯,浙江,IT设备,2021/2/4,2020/12/31,略增,"预计2020年1-12月归属于上市公司股东的净利润盈利:1,520万元至1,800万元,同比上年增长:0.02%至18.44%。",18.44,0.02
4539,sz.300077,国民技术,深圳,半导体,2020/1/22,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:10,300万元至10,800万元。",106.690374,106.380635
4540,sz.300077,国民技术,深圳,半导体,2020/4/10,2020/3/31,减亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:850万元至1,350万元。",44.46436,11.796336
4541,sz.300077,国民技术,深圳,半导体,2021/1/29,2020/12/31,预减,"预计2020年1-12月归属于上市公司股东的净利润盈利:1,000万元至1,500万元,同比上年下降:85.57%至90.38%。",-85.57,-90.38
